codigo P;nombre P;cantidad;precio;bod;cant_real;
7702080565150;GUAYO  G-RACER GRIS/NARANJA 2;6;78500;TFG  ;6;
7702080565235;ZAP. LISA GAMERS AMARILLO/NEGRO 3 ½;1;73300;TFG  ;1;
7702080565433;ZAP. LISA GAMERS AMARILLO/NEGRO 5;1;73300;TFG  ;1;
7702080565556;GUAYO  G-RACER GRIS/NARANJA 5;1;78500;TFG  ;1;
7702080565938;ZAP. LISA GAMERS AZUL / VERDE / NEGRO 3 ½;1;73300;TFG  ;1;
7702080566652;ZAPATILLA LISA G-RACER AMARILLO/NEGRO 2 1/2;1;85000;TFG  ;1;
7702080567352;ZAPATILLA LISA G-RACER GRIS/NEGRO/AZUL 2 1/2;1;85000;TFG  ;1;
7702080567635;ZAP. LISA GAMERS ROJO/AZUL/NEGRO 13;1;73300;TFG  ;1;
7702080567734;ZAP. LISA GAMERS ROJO/AZUL/NEGRO 1;1;73300;TFG  ;1;
7702080567758;ZAPATILLA LISA G-RACER GRIS/NARANJA 13;1;85000;TFG  ;1;
7702080567932;ZAP. LISA GAMERS ROJO/AZUL/NEGRO 2 ½;1;73300;TFG  ;1;
7702080568434;GUAYO CLASSICS  VERDE LIMON/AZUL 8 CAUCHO;1;67300;TFG  ;1;
7702080568731;GUAYO CLASSICS  VERDE LIMON/AZUL 10 CAUCHO;1;67300;TFG  ;1;
7702080568939;GUAYO CLASSICS  VERDE LIMON/AZUL 11 1/2 CAUCHO;1;67300;TFG  ;1;
7702080572073;ZAP LISA PROF GOLTY CLEVER NAR/AZL 9;1;71500;TFG  ;1;
7702080572257;GUAYO PROF GOLTY CLEVER GRIS VER/AZL 8;4;71500;TFG  ;4;
7702080572356;GUAYO PROF GOLTY CLEVER GRIS VER/AZL 9;3;71500;TFG  ;3;
7702080572455;GUAYO PROF GOLTY CLEVER GRIS VER/AZL 9 1/2;4;71500;TFG  ;4;
7702080572554;GUAYO PROF GOLTY CLEVER GRIS VER/AZL 10;3;71500;TFG  ;3;
7702080572653;GUAYO PROF GOLTY CLEVER GRIS VER/AZUL 11 (42.5);1;71500;TFG  ;1;
7702080572752;GUAYO PROF GOLTY CLEVER   GRIS VER/AZL 11 1/2;2;71500;TFG  ;2;
7702080572851;GUAYO PROF GOLTY CLEVER GRIS/NE 7 1/2;2;71500;TFG  ;2;
7702080572875;GUAYO TRAIN GOLTY NEON VERDE/MORADO 1;7;73000;TFG  ;7;
7702080572950;GUAYO PROF GOLTY CLEVER GRIS/NE 8;2;71500;TFG  ;2;
7702080572974;GUAYO TRAIN GOLTY NEON VERDE/MORADO 2;6;73000;TFG  ;6;
